** Initializing network

Initializing channel Torus3D.sw0_0_0.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_0_0.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_0_0.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_0_0.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_0_0.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_0_0.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_0_0.port$o[6].channel, stage 0
Initializing channel Torus3D.sw0_0_1.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_0_1.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_0_1.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_0_1.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_0_1.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_0_1.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_0_1.port$o[6].channel, stage 0
Initializing channel Torus3D.sw0_0_2.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_0_2.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_0_2.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_0_2.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_0_2.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_0_2.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_0_2.port$o[6].channel, stage 0
Initializing channel Torus3D.sw0_1_0.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_1_0.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_1_0.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_1_0.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_1_0.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_1_0.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_1_0.port$o[6].channel, stage 0
Initializing channel Torus3D.sw0_1_1.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_1_1.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_1_1.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_1_1.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_1_1.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_1_1.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_1_1.port$o[6].channel, stage 0
Initializing channel Torus3D.sw0_1_2.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_1_2.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_1_2.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_1_2.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_1_2.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_1_2.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_1_2.port$o[6].channel, stage 0
Initializing channel Torus3D.sw0_2_0.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_2_0.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_2_0.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_2_0.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_2_0.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_2_0.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_2_0.port$o[6].channel, stage 0
Initializing channel Torus3D.sw0_2_1.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_2_1.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_2_1.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_2_1.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_2_1.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_2_1.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_2_1.port$o[6].channel, stage 0
Initializing channel Torus3D.sw0_2_2.port$o[0].channel, stage 0
Initializing channel Torus3D.sw0_2_2.port$o[1].channel, stage 0
Initializing channel Torus3D.sw0_2_2.port$o[2].channel, stage 0
Initializing channel Torus3D.sw0_2_2.port$o[3].channel, stage 0
Initializing channel Torus3D.sw0_2_2.port$o[4].channel, stage 0
Initializing channel Torus3D.sw0_2_2.port$o[5].channel, stage 0
Initializing channel Torus3D.sw0_2_2.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_0_0.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_0_0.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_0_0.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_0_0.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_0_0.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_0_0.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_0_0.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_0_1.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_0_1.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_0_1.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_0_1.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_0_1.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_0_1.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_0_1.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_0_2.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_0_2.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_0_2.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_0_2.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_0_2.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_0_2.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_0_2.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_1_0.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_1_0.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_1_0.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_1_0.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_1_0.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_1_0.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_1_0.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_1_1.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_1_1.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_1_1.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_1_1.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_1_1.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_1_1.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_1_1.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_1_2.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_1_2.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_1_2.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_1_2.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_1_2.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_1_2.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_1_2.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_2_0.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_2_0.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_2_0.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_2_0.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_2_0.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_2_0.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_2_0.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_2_1.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_2_1.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_2_1.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_2_1.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_2_1.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_2_1.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_2_1.port$o[6].channel, stage 0
Initializing channel Torus3D.sw1_2_2.port$o[0].channel, stage 0
Initializing channel Torus3D.sw1_2_2.port$o[1].channel, stage 0
Initializing channel Torus3D.sw1_2_2.port$o[2].channel, stage 0
Initializing channel Torus3D.sw1_2_2.port$o[3].channel, stage 0
Initializing channel Torus3D.sw1_2_2.port$o[4].channel, stage 0
Initializing channel Torus3D.sw1_2_2.port$o[5].channel, stage 0
Initializing channel Torus3D.sw1_2_2.port$o[6].channel, stage 0
Initializing channel Torus3D.sw2_0_0.port$o[0].channel, stage 0
Initializing channel Torus3D.sw2_0_0.port$o[1].channel, stage 0
Initializing channel Torus3D.sw2_0_0.port$o[2].channel, stage 0
Initializing channel Torus3D.sw2_0_0.port$o[3].channel, stage 0
Initializing channel Torus3D.sw2_0_0.port$o[4].channel, stage 0
Initializing channel Torus3D.sw2_0_0.port$o[5].channel, stage 0
Initializing channel Torus3D.sw2_0_0.port$o[6].channel, stage 0
Initializing channel Torus3D.sw2_0_1.port$o[0].channel, stage 0
Initializing channel Torus3D.sw2_0_1.port$o[1].channel, stage 0
Initializing channel Torus3D.sw2_0_1.port$o[2].channel, stage 0
Initializing channel Torus3D.sw2_0_1.port$o[3].channel, stage 0
Initializing channel Torus3D.sw2_0_1.port$o[4].channel, stage 0
Initializing channel Torus3D.sw2_0_1.port$o[5].channel, stage 0
Initializing channel Torus3D.sw2_0_1.port$o[6].channel, stage 0
